TIME,DATE,TC-1,TC-2,TC-3,TC-4,TC-5,TC-6,TC-7,TC-8,TC-9,PRESSURE,HEATER,HEATER SET POINT
18:40:51,21/03/2024,76.6,76.6,76.4,77.2,77,36,36.8,38.2,36.1,-0.01,95,170
18:40:52,21/03/2024,76.6,76.6,76.4,77.2,77,36,36.8,38.2,36.1,-0.01,95,170
18:40:54,21/03/2024,76.6,76.6,76.4,77.2,77,36,36.8,38.2,36.1,-0.01,95,170
18:40:55,21/03/2024,76.4,76.5,76.3,77,76.8,36,36.8,38.2,36.1,-0.01,95,170
18:40:56,21/03/2024,76.4,76.5,76.3,77,76.8,35.7,36.5,37.9,35.8,-0.01,95,170
18:40:57,21/03/2024,76.4,76.5,76.3,77,76.8,35.7,36.5,37.9,35.8,-0.01,95,170
18:40:58,21/03/2024,76.4,76.5,76.3,77,76.8,35.7,36.5,37.9,35.8,-0.01,95,170
18:41:00,21/03/2024,76.4,76.5,76.3,77,76.8,35.7,36.5,37.9,35.8,-0.01,95,170
18:41:01,21/03/2024,76.4,76.5,76.3,77,76.8,35.7,36.5,37.9,35.8,-0.01,95,170
18:41:03,21/03/2024,76.4,76.5,76.3,77,76.8,35.7,36.5,37.9,35.8,-0.01,95,170
18:41:04,21/03/2024,76.3,76.4,76.2,76.9,76.7,35.7,36.5,37.9,35.8,-0.01,95,170
18:41:06,21/03/2024,76.3,76.4,76.2,76.9,76.7,35.6,36.5,37.6,35.7,0,95,170
18:41:08,21/03/2024,76.3,76.4,76.2,76.9,76.7,35.6,36.5,37.6,35.7,0,95,170
18:41:10,21/03/2024,76.3,76.4,76.2,76.9,76.7,35.6,36.5,37.6,35.7,0,95,170
18:41:11,21/03/2024,76.3,76.4,76.2,76.9,76.7,35.6,36.5,37.6,35.7,0,95,170
18:41:13,21/03/2024,76.3,76.4,76.2,76.9,76.7,35.6,36.5,37.6,35.7,0,95,170
18:41:14,21/03/2024,76.2,76.3,76.1,76.8,76.7,35.6,36.5,37.6,35.7,0,95,170
18:41:16,21/03/2024,76.2,76.3,76.1,76.8,76.5,35.4,36.3,37.6,35.7,0,95,170
18:41:17,21/03/2024,76.2,76.3,76.1,76.8,76.5,35.4,36.3,37.6,35.4,-0.01,95,170
18:41:19,21/03/2024,76.2,76.3,76.1,76.8,76.5,35.4,36.3,37.6,35.4,-0.01,95,170
18:41:21,21/03/2024,76.2,76.3,76.1,76.8,76.5,35.4,36.3,37.6,35.4,-0.01,95,170
18:41:23,21/03/2024,76.2,76.3,76.1,76.8,76.5,35.4,36.3,37.6,35.4,-0.01,95,170
18:41:24,21/03/2024,76.1,76.2,75.9,76.7,76.5,35.4,36.3,37.6,35.4,-0.01,95,170
18:41:25,21/03/2024,76.1,76.2,75.9,76.7,76.5,35.4,36.2,37.5,35.3,-0.01,95,170
18:41:28,21/03/2024,76.1,76.2,75.9,76.7,76.5,35.4,36.2,37.5,35.3,-0.01,95,170
18:41:29,21/03/2024,76.1,76.2,75.9,76.7,76.5,35.4,36.2,37.5,35.3,-0.01,95,170
18:41:31,21/03/2024,76.1,76.2,75.9,76.7,76.5,35.4,36.2,37.5,35.3,-0.01,95,170
18:41:32,21/03/2024,76.1,76.2,75.9,76.7,76.5,35.4,36.2,37.5,35.3,-0.01,95,170
18:41:34,21/03/2024,76.1,76.2,75.9,76.7,76.5,35.4,36.2,37.5,35.3,-0.01,95,170
18:41:36,21/03/2024,76,76,75.8,76.6,76.3,35.4,36.2,37.5,35.3,-0.01,95,170
18:41:37,21/03/2024,76,76,75.8,76.6,76.3,35.4,36.1,37.2,35.2,-0.01,95,170
18:41:38,21/03/2024,76,76,75.8,76.6,76.3,35.4,36.1,37.2,35.2,-0.01,95,170
18:41:41,21/03/2024,76,76,75.8,76.6,76.3,35.4,36.1,37.2,35.2,-0.01,95,170
18:41:43,21/03/2024,76,76,75.8,76.6,76.3,35.4,36.1,37.2,35.2,-0.01,95,170
18:41:44,21/03/2024,75.8,75.9,75.7,76.5,76.2,35.4,36.1,37.2,35.2,-0.01,95,170
18:41:45,21/03/2024,75.8,75.9,75.7,76.5,76.2,35.2,36,37,35.1,-0.01,95,170
18:41:47,21/03/2024,75.8,75.9,75.7,76.5,76.2,35.2,36,37,35.1,-0.01,94,170
18:41:49,21/03/2024,75.8,75.9,75.7,76.5,76.2,35.2,36,37,35.1,-0.01,94,170
18:41:50,21/03/2024,75.8,75.9,75.7,76.5,76.2,35.2,36,37,35.1,-0.01,94,170
18:41:52,21/03/2024,75.8,75.9,75.7,76.5,76.2,35.2,36,37,35.1,-0.01,94,170
18:41:54,21/03/2024,75.7,75.8,75.6,76.4,76.2,35.2,36,37,35.1,-0.01,94,170
18:41:55,21/03/2024,75.7,75.8,75.6,76.4,76.1,35,35.7,36.8,35.1,-0.01,94,170
18:41:56,21/03/2024,75.7,75.8,75.6,76.4,76.1,35,35.7,36.8,34.7,-0.01,94,170
18:41:58,21/03/2024,75.7,75.8,75.6,76.4,76.1,35,35.7,36.8,34.7,-0.01,94,170
18:42:01,21/03/2024,75.6,75.8,75.6,76.4,76.1,35,35.7,36.8,34.7,-0.01,94,170
18:42:03,21/03/2024,75.6,75.7,75.5,76.2,76,34.9,35.6,36.8,34.7,-0.01,94,170
18:42:04,21/03/2024,75.6,75.7,75.5,76.2,76,34.9,35.6,36.8,34.5,-0.01,94,170
18:42:07,21/03/2024,75.6,75.7,75.5,76.2,76,34.9,35.6,36.8,34.5,-0.01,94,170
18:42:09,21/03/2024,75.6,75.7,75.5,76.2,76,34.9,35.6,36.8,34.5,-0.01,94,170
18:42:13,21/03/2024,75.6,75.7,75.5,76.2,76,34.9,35.6,36.8,34.5,-0.01,94,170
18:42:15,21/03/2024,75.5,75.5,75.3,76.1,75.8,34.9,35.6,36.8,34.5,-0.01,94,170
18:42:16,21/03/2024,75.5,75.5,75.3,76.1,75.8,34.7,35.4,36.5,34.2,-0.01,94,170
18:42:17,21/03/2024,75.5,75.5,75.3,76.1,75.8,34.7,35.4,36.5,34.2,-0.01,94,170
18:42:20,21/03/2024,75.5,75.5,75.3,76.1,75.8,34.7,35.4,36.5,34.2,-0.01,94,170
18:42:24,21/03/2024,75.5,75.5,75.3,76.1,75.8,34.7,35.4,36.5,34.2,-0.01,94,170
18:42:25,21/03/2024,75.4,75.5,75.2,76,75.7,34.7,35.4,36.5,34.2,-0.01,94,170
18:42:26,21/03/2024,75.4,75.5,75.2,76,75.7,34.6,35.3,36.4,34.2,-0.01,94,170
18:42:28,21/03/2024,75.4,75.5,75.2,76,75.7,34.6,35.3,36.4,34.2,-0.01,94,170
18:42:29,21/03/2024,75.4,75.5,75.2,76,75.7,34.6,35.3,36.4,34.2,-0.01,94,170
18:42:30,21/03/2024,75.4,75.5,75.2,76,75.7,34.6,35.3,36.4,34.2,-0.01,94,170
18:42:32,21/03/2024,75.4,75.5,75.2,76,75.7,34.6,35.3,36.4,34.2,-0.01,94,170
18:42:34,21/03/2024,75.3,75.3,75.1,75.9,75.6,34.6,35.3,36.4,34.2,-0.01,94,170
18:42:35,21/03/2024,75.3,75.3,75.1,75.9,75.6,34.6,35.3,36.3,34.2,-0.01,94,170
18:42:36,21/03/2024,75.3,75.3,75.1,75.9,75.6,34.6,35.3,36.3,34.2,-0.01,94,170
18:42:37,21/03/2024,75.3,75.3,75.1,75.9,75.6,34.6,35.3,36.3,34.2,-0.01,94,170
18:42:39,21/03/2024,75.3,75.3,75.1,75.9,75.6,34.6,35.3,36.3,34.2,-0.01,94,170
18:42:40,21/03/2024,75.3,75.3,75.1,75.9,75.6,34.6,35.3,36.3,34.2,-0.01,94,170
18:42:42,21/03/2024,75.3,75.3,75.1,75.9,75.6,34.6,35.3,36.3,34.2,-0.01,94,170
18:42:43,21/03/2024,75.2,75.3,75,75.8,75.6,34.6,35.3,36.3,34.2,-0.01,94,170
18:42:44,21/03/2024,75.2,75.3,75,75.8,75.5,34.6,35.3,36.2,34.2,-0.01,94,170
18:42:45,21/03/2024,75.2,75.3,75,75.8,75.5,34.6,35.3,36.2,34.1,-0.01,93,170
18:42:47,21/03/2024,75.2,75.3,75,75.8,75.5,34.6,35.3,36.2,34.1,-0.01,93,170
18:42:49,21/03/2024,75.1,75.2,75,75.7,75.5,34.6,35.3,36.2,34.1,-0.01,93,170
18:42:50,21/03/2024,75.1,75.2,75,75.7,75.5,34.6,35.3,36.1,34,-0.01,93,170
18:42:51,21/03/2024,75.1,75.2,75,75.7,75.5,34.6,35.3,36.1,34,0,93,170
18:42:52,21/03/2024,75.1,75.2,75,75.7,75.5,34.6,35.3,36.1,34,0,93,170
